observation_id,observation_hash,property_id,property_name,source_platform,stay_date,observed_at_jst,room_product_key,room_type_name,rate_plan_key,rate_plan_name,search_adults,search_children,search_rooms,length_of_stay,currency,observed_price,availability_status,inventory_count,inventory_count_semantics,inventory_scope,source_quality,raw_evidence_hash,collector_run_id
booking|hammond|2026-09-01|text:和室|unknown_rate|2|0|1|1|core_competitor_obs_20260818_045006,e604f6979150d028b99a12de8be964a086d695f293841dba9dd3323ca692866a,hammond,HAMMOND,booking,2026-09-01,2026-08-18T04:53:52+09:00,text:和室,和室,,,2,0,1,1,JPY,13860,AVAILABLE,4,PUBLIC_SCARCITY_COUNT,PRODUCT,MEDIUM,4ec2f21c2d2ca55d9984ac4822eda4d4e285c06573f136fbcb1ad49617dba911,core_competitor_obs_20260818_045006
booking|yoshidaya|2026-09-01|text:和室|unknown_rate|2|0|1|1|core_competitor_obs_20260818_045006,be6124c0c945e659fb95d304f136c3abe3babfcc885e3fd407c466b192d5f14f,yoshidaya,吉田屋,booking,2026-09-01,2026-08-18T04:57:15+09:00,text:和室,和室,,,2,0,1,1,JPY,16830,AVAILABLE,7,PUBLIC_SCARCITY_COUNT,PRODUCT,MEDIUM,08c4adfede6292f1779e2867c6557423cc0c44e225d7cd15a3d99c1a41e71bd2,core_competitor_obs_20260818_045006
booking|oakhill|2026-09-01|text:和室|unknown_rate|2|0|1|1|core_competitor_obs_20260818_045006,694e7d5d0a0fbd0d5f93d2e8b2420b0b4edbea71fac2c87d1ef682a027152d61,oakhill,ONSEN & STAY OAKHILL,booking,2026-09-01,2026-08-18T05:00:27+09:00,text:和室,和室,,,2,0,1,1,JPY,17409,AVAILABLE,,BINARY_AVAILABILITY,UNKNOWN,HIGH,c32fd105e16d3c34d893252a61c2f76bb850b5796d883a8ced3f4fcabcc3d8e8,core_competitor_obs_20260818_045006
jalan|hammond|2026-09-01|room:和室二間トリプルベッド|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260818_045006,44a00374e2dd097ac8d06f8797ae83e4a111473788722b8294c1d9e79a81c398,hammond,HAMMOND,jalan,2026-09-01,2026-08-18T05:03:19+09:00,room:和室二間トリプルベッド|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1,和室二間トリプルベッド,text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,2,0,1,1,JPY,19800,AVAILABLE,3,PUBLIC_SCARCITY_COUNT,PRODUCT,HIGH,a53b7d24ea83ecba0405d0dabf29932cd75e0d50e67cf33e44afc63634873985,core_competitor_obs_20260818_045006
jalan|hammond|2026-09-01|room:和室角部屋|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260818_045006,2bb185f392452d0839bdbab6dcf907a8a373835b86bcc3184eb22efc15af1cf2,hammond,HAMMOND,jalan,2026-09-01,2026-08-18T05:03:19+09:00,room:和室角部屋|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1,和室角部屋,text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,2,0,1,1,JPY,18000,AVAILABLE,2,PUBLIC_SCARCITY_COUNT,PRODUCT,HIGH,17697f616fd8f62521ba632b0517983888780406b2a04a2832c53929b9186abb,core_competitor_obs_20260818_045006
jalan|hammond|2026-09-01|room:スタンダード和室|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260818_045006,870452a598a56e23d0e700580e33c67687df9d7e7a3c6e65e8522e8d843a2978,hammond,HAMMOND,jalan,2026-09-01,2026-08-18T05:03:19+09:00,room:スタンダード和室|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1,スタンダード和室,text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,2,0,1,1,JPY,14000,AVAILABLE,,UNKNOWN,PRODUCT,MEDIUM,5c667325f08388054e79d30a94c030f8ebdcd3daf68d9519b7f29a6fb36fff69,core_competitor_obs_20260818_045006
jalan|hammond|2026-09-01|room:スタンダード洋室|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260818_045006,41b78a87da75eae9e78cb4c132a16276405249da1e541345a8d681cf6806ab07,hammond,HAMMOND,jalan,2026-09-01,2026-08-18T05:03:19+09:00,room:スタンダード洋室|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1,スタンダード洋室,text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,2,0,1,1,JPY,14000,AVAILABLE,,UNKNOWN,PRODUCT,MEDIUM,a57434142ab048512ea89b781a02924dd19201de4d0fdcb16d85c96035f03589,core_competitor_obs_20260818_045006
jalan|hammond|2026-09-01|room:倶楽部ルーム|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260818_045006,af9ac8a81951a41b0661b2cb5ba50ec62291b620b1700dac9e0c4d30731bf646,hammond,HAMMOND,jalan,2026-09-01,2026-08-18T05:03:19+09:00,room:倶楽部ルーム|plan:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1,倶楽部ルーム,text:【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,【基本プラン☆素泊まり】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ,2,0,1,1,JPY,14000,AVAILABLE,3,PUBLIC_SCARCITY_COUNT,PRODUCT,HIGH,125cb5cfb6518e568af524e31337d305676cdc60280ac47f2d8e09198aba7ff0,core_competitor_obs_20260818_045006
"jalan|hammond|2026-09-01|room:和室二間トリプルベッド|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260818_045006",48abf1411f575d8b604c72d570cfd2a9cfe07039bc081314da86cf13043e8dd4,hammond,HAMMOND,jalan,2026-09-01,2026-08-18T05:03:19+09:00,"room:和室二間トリプルベッド|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1",和室二間トリプルベッド,"text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ","【早割プラン☆素泊まり】7日前まで予約で1,000円OFF!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ",2,0,1,1,JPY,18800,AVAILABLE,3,PUBLIC_SCARCITY_COUNT,PRODUCT,HIGH,495e95a2ee25449f8347c3931de18a266b3cc8f10da6305cf9ee38f28428bfef,core_competitor_obs_20260818_045006
"jalan|hammond|2026-09-01|room:和室角部屋|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260818_045006",793d7624b829c3490ded78e446e7f53591db649f3f9b5f5b07a0fc50cbbc4e40,hammond,HAMMOND,jalan,2026-09-01,2026-08-18T05:03:19+09:00,"room:和室角部屋|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1",和室角部屋,"text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ","【早割プラン☆素泊まり】7日前まで予約で1,000円OFF!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ",2,0,1,1,JPY,17000,AVAILABLE,2,PUBLIC_SCARCITY_COUNT,PRODUCT,HIGH,222f01f9c80550ff3a962287069c3bcf1261b419ee3dd7b736c9e4966210342f,core_competitor_obs_20260818_045006
