observation_id,observation_hash,property_id,property_name,source_platform,stay_date,observed_at_jst,room_product_key,room_type_name,rate_plan_key,rate_plan_name,search_adults,search_children,search_rooms,length_of_stay,currency,observed_price,availability_status,inventory_count,inventory_count_semantics,inventory_scope,source_quality,raw_evidence_hash,collector_run_id
booking|hammond|2026-10-01|text:和室|unknown_rate|2|0|1|1|core_competitor_obs_20260917_045002,31133149e4ae34cacebec04b8c5393cc6a57585ef812ec6a3acc2f760a41f8d6,hammond,HAMMOND,booking,2026-10-01,2026-09-17T04:52:38+09:00,text:和室,和室,,,2,0,1,1,JPY,13860,AVAILABLE,,BINARY_AVAILABILITY,UNKNOWN,MEDIUM,d3e53c26b5242096ac00870ac2c49af675a169189dc8d99bb050ccd05823fb30,core_competitor_obs_20260917_045002
booking|yoshidaya|2026-10-01|text:和室|unknown_rate|2|0|1|1|core_competitor_obs_20260917_045002,e212f02480c2932cacc568dae220565efa1227034bb2c7d04f394148dfdda91b,yoshidaya,吉田屋,booking,2026-10-01,2026-09-17T04:55:20+09:00,text:和室,和室,,,2,0,1,1,JPY,16830,AVAILABLE,5,PUBLIC_SCARCITY_COUNT,PRODUCT,MEDIUM,6a7f80bd7a265283fdb4f51c95f255ebd0d93a5104da328572558aba2667f3d5,core_competitor_obs_20260917_045002
booking|oakhill|2026-10-01|unknown_product|unknown_rate|2|0|1|1|core_competitor_obs_20260917_045002,b46895bdc7635745a54f38e816c525cbbe221af57da75a268ae9cbdb305f3945,oakhill,ONSEN & STAY OAKHILL,booking,2026-10-01,2026-09-17T04:57:51+09:00,,,,,2,0,1,1,JPY,37400,AVAILABLE,3,PUBLIC_SCARCITY_COUNT,PRODUCT,LOW,3eac4fc196d45ab3de08ae5edee1ed09a3aa344e9af18fb326bc83703a59a9ba,core_competitor_obs_20260917_045002
jalan|hammond|2026-10-01|room:和室二間トリプルベッド|plan:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|2|0|1|1|core_competitor_obs_20260917_045002,d8af77fc431c3728a9fb5269de4da4d1b4affc05eb208341d091195a38af92b2,hammond,HAMMOND,jalan,2026-10-01,2026-09-17T05:00:55+09:00,room:和室二間トリプルベッド|plan:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|meal:confirmed_room_only|occ:2a0c1r|los:1,和室二間トリプルベッド,text:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で,【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で,2,0,1,1,JPY,17820,AVAILABLE,3,PUBLIC_SCARCITY_COUNT,PRODUCT,HIGH,6dbd9bd640ccfb5e63dee453f7d61771e6b811a6154410c41d8538dcc79d5c9c,core_competitor_obs_20260917_045002
jalan|hammond|2026-10-01|room:和室角部屋|plan:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|2|0|1|1|core_competitor_obs_20260917_045002,87a2e31270506d139b091e539f0f2c39eda131815d9108635cb76e56ffb033ef,hammond,HAMMOND,jalan,2026-10-01,2026-09-17T05:00:55+09:00,room:和室角部屋|plan:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|meal:confirmed_room_only|occ:2a0c1r|los:1,和室角部屋,text:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で,【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で,2,0,1,1,JPY,16200,AVAILABLE,3,PUBLIC_SCARCITY_COUNT,PRODUCT,HIGH,1b508bb21a38d373d36aab6324b21cb7038b4c1a08490c2a15e6a2487832ab01,core_competitor_obs_20260917_045002
jalan|hammond|2026-10-01|room:スタンダード和室|plan:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|2|0|1|1|core_competitor_obs_20260917_045002,89b53726ccf45e01a3e4a78517bc6180b4954ce5c7051587ac93aab18b93375b,hammond,HAMMOND,jalan,2026-10-01,2026-09-17T05:00:55+09:00,room:スタンダード和室|plan:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|meal:confirmed_room_only|occ:2a0c1r|los:1,スタンダード和室,text:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で,【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で,2,0,1,1,JPY,12600,AVAILABLE,,UNKNOWN,PRODUCT,MEDIUM,1850d892c22af4655a16a3a21ec97e9c2dde880b4f239a21a5dec04becbcd8c9,core_competitor_obs_20260917_045002
jalan|hammond|2026-10-01|room:スタンダード洋室|plan:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|2|0|1|1|core_competitor_obs_20260917_045002,2b5868a0d385b4f65f9ba3cfbd0bc19f324c4681f2669a9ccb84128bda46e388,hammond,HAMMOND,jalan,2026-10-01,2026-09-17T05:00:55+09:00,room:スタンダード洋室|plan:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で|meal:confirmed_room_only|occ:2a0c1r|los:1,スタンダード洋室,text:【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で,【じゃらんスペシャルウィーク】蔵王温泉リーズナブルステイ!7箇所の湯めぐり無料特典♪ご夕食は温泉街で,2,0,1,1,JPY,12600,AVAILABLE,,UNKNOWN,PRODUCT,MEDIUM,a21d5b5771518ae173a3ee9510b3f6dc36b33e053243e54912f62893f5e094f9,core_competitor_obs_20260917_045002
"jalan|hammond|2026-10-01|room:和室二間トリプルベッド|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260917_045002",788db9a10b6534038e814cc3d12c4d27db4139618280af3063ffd19187abe71d,hammond,HAMMOND,jalan,2026-10-01,2026-09-17T05:00:55+09:00,"room:和室二間トリプルベッド|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1",和室二間トリプルベッド,"text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ","【早割プラン☆素泊まり】7日前まで予約で1,000円OFF!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ",2,0,1,1,JPY,18800,AVAILABLE,3,PUBLIC_SCARCITY_COUNT,PRODUCT,HIGH,cf1e4b0fdb76b2ad533bc37f865e23c7f7118a519ba9c267b12e7e45f0f6b4c0,core_competitor_obs_20260917_045002
"jalan|hammond|2026-10-01|room:和室角部屋|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260917_045002",d11974fbf0fb5f8ed0a0b18851e9ec66f4e64e77dfb6dec2a2a0fc64a7c42dc8,hammond,HAMMOND,jalan,2026-10-01,2026-09-17T05:00:55+09:00,"room:和室角部屋|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1",和室角部屋,"text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ","【早割プラン☆素泊まり】7日前まで予約で1,000円OFF!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ",2,0,1,1,JPY,17000,AVAILABLE,3,PUBLIC_SCARCITY_COUNT,PRODUCT,HIGH,92de2dc13be4f15c74180cc1ce45e5059e8e06146ea81521413943787711fc3f,core_competitor_obs_20260917_045002
"jalan|hammond|2026-10-01|room:スタンダード和室|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1|text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|2|0|1|1|core_competitor_obs_20260917_045002",780ec1f2295de1583e765aac37d3dfdbcec07172a378ca1dbf76873be28c44cf,hammond,HAMMOND,jalan,2026-10-01,2026-09-17T05:00:55+09:00,"room:スタンダード和室|plan:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ|meal:confirmed_room_only|occ:2a0c1r|los:1",スタンダード和室,"text:【早割プラン☆素泊まり】7日前まで予約で1,000円off!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ","【早割プラン☆素泊まり】7日前まで予約で1,000円OFF!7箇所の湯めぐり無料特典♪ご夕食は温泉街へ",2,0,1,1,JPY,13000,AVAILABLE,,UNKNOWN,PRODUCT,MEDIUM,32af115372dad2f08f311f889990c3918005d9fb364dc418e9ca2768df176d6a,core_competitor_obs_20260917_045002
